id,candidate,disease,stage,platform,developer,status,last_update,source,source_url,supporting_trial_count
PATH-819ad36c09,RSVPreF3 OA / Arexvy,RSV,Phase 4,Protein/subunit/VLP,GSK,Public RSV tracker / post-authorization evidence,2026-05-08,PATH RSV and mAb Trial Tracker,https://www.path.org/our-impact/resources/rsv-and-mab-trial-tracker/,0
PATH-65ed6ee2a4,RSVpreF / Abrysvo,RSV,Phase 4,Protein/subunit/VLP,Pfizer,Public RSV tracker / post-authorization evidence,2026-05-08,PATH RSV and mAb Trial Tracker,https://www.path.org/our-impact/resources/rsv-and-mab-trial-tracker/,0
PATH-823ec889b5,mRNA-1345 / mRESVIA,RSV,Phase 4,mRNA/RNA,Moderna,Public RSV tracker / post-authorization evidence,2026-05-08,PATH RSV and mAb Trial Tracker,https://www.path.org/our-impact/resources/rsv-and-mab-trial-tracker/,0
CLINICALTRIALS.GOV-ef5b235eb5,Ad26.COV2.S,COVID-19,Phase 3,Viral vector,Janssen Vaccines & Prevention,Clinical trial record,2026-05-08,ClinicalTrials.gov,https://clinicaltrials.gov/study/NCT04505722,1
CLINICALTRIALS.GOV-5c45930395,Ad5-nCoV,COVID-19,Phase 3,Viral vector,CanSino Biologics; Beijing Institute of Biotechnology,Clinical trial record,2026-05-08,ClinicalTrials.gov,https://clinicaltrials.gov/study/NCT04526990,1
CLINICALTRIALS.GOV-fa86b9875a,BNT162b2,COVID-19,Phase 3,mRNA/RNA,Pfizer; BioNTech,Clinical trial record,2026-05-08,ClinicalTrials.gov,https://clinicaltrials.gov/study/NCT04713553,1
CLINICALTRIALS.GOV-6f44ebd7ba,NVX-CoV2373,COVID-19,Phase 3,Protein/subunit/VLP,Novavax,Clinical trial record,2026-05-08,ClinicalTrials.gov,https://clinicaltrials.gov/study/NCT04583995,1
CIDRAP-6d0ddacfca,PTX-COVID19-B,COVID-19,Phase 3,mRNA/RNA,Providence Therapeutics Holdings,CIDRAP landscape candidate,2026-05-08,CIDRAP Coronavirus Vaccine Technology Landscape,https://cvr.cidrap.umn.edu/coronavirus-vaccine-technology-landscape,0
CLINICALTRIALS.GOV-8d9c848df3,mRNA-1273,COVID-19,Phase 3,mRNA/RNA,Moderna; NIAID,Clinical trial record,2026-05-08,ClinicalTrials.gov,https://clinicaltrials.gov/study/NCT04470427,1
PATH-617710eb78,Clesrovimab / MK-1654,RSV,Phase 3,Preventive mAb,Merck,Public RSV clinical tracker,2026-05-08,PATH RSV and mAb Trial Tracker,https://www.path.org/our-impact/resources/rsv-and-mab-trial-tracker/,0
TB-1a7baaa8c0,GamTBvac,Tuberculosis,Phase 3,Protein/subunit/VLP,Gamaleya National Research Center,Public TB clinical pipeline,2026-05-08,TB Vaccine Clinical Pipeline,https://newtbvaccines.org/tb-vaccine-pipeline/clinical-phase/,0
TB-aceda908b3,M72/AS01E,Tuberculosis,Phase 3,Protein/subunit/VLP,GSK; Gates MRI; IAVI,Public TB clinical pipeline,2026-05-08,TB Vaccine Clinical Pipeline,https://newtbvaccines.org/tb-vaccine-pipeline/clinical-phase/,0
TB-b6dbba2e38,MTBVAC,Tuberculosis,Phase 3,Live attenuated,Biofabri; University of Zaragoza; TBVI,Public TB clinical pipeline,2026-05-08,TB Vaccine Clinical Pipeline,https://newtbvaccines.org/tb-vaccine-pipeline/clinical-phase/,0
TB-dcdac5a86c,VPM1002,Tuberculosis,Phase 3,Live attenuated / recombinant BCG,Serum Institute of India; Max Planck Institute,Public TB clinical pipeline,2026-05-08,TB Vaccine Clinical Pipeline,https://newtbvaccines.org/tb-vaccine-pipeline/clinical-phase/,0
CLINICALTRIALS.GOV-92d0b9f7c6,VXA-CoV2-3.3,COVID-19,Phase 2/3,Protein/subunit/VLP,Vaxart,Clinical trial record,2026-05-08,ClinicalTrials.gov,https://clinicaltrials.gov/study/NCT06672055,1
TB-0d6f279e25,BCG revaccination,Tuberculosis,Phase 2/3,Live attenuated,Multiple academic groups,Public TB clinical pipeline,2026-05-08,TB Vaccine Clinical Pipeline,https://newtbvaccines.org/tb-vaccine-pipeline/clinical-phase/,0
CIDRAP-cd35b89802,ReCoV,COVID-19,Phase 2,Protein/subunit/VLP,Jiangsu Rec-Biotechnology,CIDRAP landscape candidate,2026-05-08,CIDRAP Coronavirus Vaccine Technology Landscape,https://cvr.cidrap.umn.edu/coronavirus-vaccine-technology-landscape,0
WHO-99d900a9a3,ACE527,ETEC,Phase 2,Live attenuated,PATH; Emergent BioSolutions,WHO/public vaccine landscape,2026-05-08,WHO Vaccine Pipeline Tracker / public landscape,https://www.who.int/teams/regulation-prequalification/eul/eul-vaccines/tracking-the-new-vaccine-pipeline,0
PATHGBS-c09a97bfe0,GBS-NN / NN2,Group B Streptococcus,Phase 2,Protein/subunit/VLP,MinervaX,GBS candidate vaccine clinical tracker,2026-05-08,PATH GBS Vaccine Clinical Trial Tracker,https://www.path.org/our-impact/resources/gbs-vaccine-clinical-trial-tracker/,0
PATHGBS-2ac182f2b5,GBS6,Group B Streptococcus,Phase 2,Conjugate,Pfizer,GBS candidate vaccine clinical tracker,2026-05-08,PATH GBS Vaccine Clinical Trial Tracker,https://www.path.org/our-impact/resources/gbs-vaccine-clinical-trial-tracker/,0
IAVI-19da601176,rVSVΔG-LASV-GPC,Lassa virus,Phase 2,Viral vector,IAVI / CEPI / partners,IAVI-led emerging infectious disease candidate,2026-05-08,IAVI Pipeline,https://www.iavi.org/iavi-pipeline/,0
WHO-c938ea3fec,Norovirus VLP vaccine candidates,Norovirus,Phase 2,Protein/subunit/VLP,Multiple developers,WHO/public vaccine landscape,2026-05-08,WHO Vaccine Pipeline Tracker / public landscape,https://www.who.int/teams/regulation-prequalification/eul/eul-vaccines/tracking-the-new-vaccine-pipeline,0
WHO-650e1be69b,Shigella4V,Shigella,Phase 2,Conjugate/polysaccharide,GSK; LimmaTech Biologics,WHO/public vaccine landscape,2026-05-08,WHO Vaccine Pipeline Tracker / public landscape,https://www.who.int/teams/regulation-prequalification/eul/eul-vaccines/tracking-the-new-vaccine-pipeline,0
TB-3895c9f194,H56:IC31,Tuberculosis,Phase 2,Protein/subunit/VLP,Statens Serum Institut; Valneva,Public TB clinical pipeline,2026-05-08,TB Vaccine Clinical Pipeline,https://newtbvaccines.org/tb-vaccine-pipeline/clinical-phase/,0
TB-d3ab6d59e1,ID93 + GLA-SE,Tuberculosis,Phase 2,Protein/subunit/VLP,Access to Advanced Health Institute,Public TB clinical pipeline,2026-05-08,TB Vaccine Clinical Pipeline,https://newtbvaccines.org/tb-vaccine-pipeline/clinical-phase/,0
TB-bf349ac9e7,TB/FLU-04L,Tuberculosis,Phase 2,Viral vector,Research Institute for Biological Safety Problems,Public TB clinical pipeline,2026-05-08,TB Vaccine Clinical Pipeline,https://newtbvaccines.org/tb-vaccine-pipeline/clinical-phase/,0
CIDRAP-c37219e732,VBI-2901a,Broadly protective coronavirus,Phase 1,Protein/subunit/VLP,VBI Vaccines,CIDRAP landscape candidate,2026-05-08,CIDRAP Coronavirus Vaccine Technology Landscape,https://cvr.cidrap.umn.edu/coronavirus-vaccine-technology-landscape,0
CLINICALTRIALS.GOV-ecf8cf4867,COVID-19 RNA vaccine candidate,COVID-19,Phase 1,mRNA/RNA,Pfizer,Clinical trial record,2026-05-08,ClinicalTrials.gov,https://clinicaltrials.gov/study/NCT07069309,1
CLINICALTRIALS.GOV-af972d4b9a,Combined influenza and COVID-19 vaccine,COVID-19 / Influenza,Phase 1,mRNA/RNA,Pfizer,Clinical trial record,2026-05-08,ClinicalTrials.gov,https://clinicaltrials.gov/study/NCT06178991,1
PATHGBS-313b3680b8,IVT GBS-06,Group B Streptococcus,Phase 1,Protein/subunit/VLP,Inventprise,GBS candidate vaccine clinical tracker,2026-05-08,PATH GBS Vaccine Clinical Trial Tracker,https://www.path.org/our-impact/resources/gbs-vaccine-clinical-trial-tracker/,0
WHO-17876beace,HIV Env trimer vaccine candidates,HIV,Phase 1,Protein/subunit/VLP,Multiple academic / PDP developers,WHO/public vaccine landscape,2026-05-08,WHO Vaccine Pipeline Tracker / public landscape,https://www.who.int/teams/regulation-prequalification/eul/eul-vaccines/tracking-the-new-vaccine-pipeline,0
IAVI-8e02181f84,"eOD-GT8 60mer mRNA, coreg28v2 60mer mRNA, N332 GT5 mRNA",HIV,Phase 1,mRNA/RNA,IAVI / Moderna / partners,IAVI-led HIV vaccine candidate,2026-05-08,IAVI Pipeline,https://www.iavi.org/iavi-pipeline/,0
CIDRAPFLU-4cfb20782b,Centi-Flu 01,Influenza,Phase 1,Unclassified,Centivax,New clinical candidate listed by CIDRAP,2026-05-08,CIDRAP Universal Influenza Vaccine Technology Landscape,https://ivr.cidrap.umn.edu/universal-influenza-vaccine-technology-landscape,0
CIDRAPFLU-4558d9d412,Novel H5 Central Antigen mRNA-LNP,Influenza,Phase 1,mRNA/RNA,NIAID,New clinical candidate listed by CIDRAP,2026-05-08,CIDRAP Universal Influenza Vaccine Technology Landscape,https://ivr.cidrap.umn.edu/universal-influenza-vaccine-technology-landscape,0
CIDRAPFLU-d5bd7fa34d,Recombinant trivalent VLP,Influenza,Phase 1,Protein/subunit/VLP,Aramis Biotechnologies,New clinical candidate listed by CIDRAP,2026-05-08,CIDRAP Universal Influenza Vaccine Technology Landscape,https://ivr.cidrap.umn.edu/universal-influenza-vaccine-technology-landscape,0
CIDRAPFLU-52d0db6971,UniFluVec,Influenza,Phase 1,Viral vector,Capricorn Technologies,New clinical candidate listed by CIDRAP,2026-05-08,CIDRAP Universal Influenza Vaccine Technology Landscape,https://ivr.cidrap.umn.edu/universal-influenza-vaccine-technology-landscape,0
CIDRAPFLU-56e0799ae2,rH5-NE,Influenza,Phase 1,Protein/subunit/VLP,University of Maryland / BlueWillow Biologics,New clinical candidate listed by CIDRAP,2026-05-08,CIDRAP Universal Influenza Vaccine Technology Landscape,https://ivr.cidrap.umn.edu/universal-influenza-vaccine-technology-landscape,0
WHO-70772b70c7,ChAdOx1 Lassa,Lassa fever,Phase 1,Viral vector,University of Oxford; CEPI partners,Public organization pipeline,2026-05-08,WHO Vaccine Pipeline Tracker / public landscape,https://www.iavi.org/iavi-pipeline/,0
WHO-4f6524bc2d,IAVI C102 / rVSVΔG-LASV-GPC,Lassa fever,Phase 1,Viral vector,IAVI; CEPI partners,Public organization pipeline,2026-05-08,WHO Vaccine Pipeline Tracker / public landscape,https://www.iavi.org/iavi-pipeline/,0
IAVI-90c0861507,rVSV∆G-MARV-GP,Marburg virus,Phase 1,Viral vector,IAVI / partners,IAVI-led emerging infectious disease candidate,2026-05-08,IAVI Pipeline,https://www.iavi.org/iavi-pipeline/,0
WHO-1760d21a91,ChAd3-Marburg,Marburg virus disease,Phase 1,Viral vector,Sabin Vaccine Institute; NIAID,Public organization pipeline,2026-05-08,WHO Vaccine Pipeline Tracker / public landscape,https://www.iavi.org/iavi-pipeline/,0
WHOMPOX-642e517750,BNT166a,Mpox / Smallpox,Phase 1,mRNA/RNA,BioNTech,Clinical candidate tracked by WHO mpox landscape,2026-05-08,WHO Mpox Vaccine Tracker,https://www.who.int/publications/m/item/mpox-vaccine-tracker---list-of-vaccine-candidates-in-research---development,0
WHO-2cb9ce3c00,rVSVΔG-SUDV-GP,Sudan ebolavirus disease,Phase 1,Viral vector,IAVI; Merck; partners,Public organization pipeline,2026-05-08,WHO Vaccine Pipeline Tracker / public landscape,https://www.iavi.org/iavi-pipeline/,0
IAVI-e68ec635de,rVSV∆G-SEBOV-GP,Sudan virus,Phase 1,Viral vector,IAVI / BARDA / WHO / Merck / partners,IAVI-led emerging infectious disease candidate,2026-05-08,IAVI Pipeline,https://www.iavi.org/iavi-pipeline/,0
IAVI-d3a029828c,rVSV∆G-SUDV-GP,Sudan virus,Phase 1,Viral vector,IAVI / partners,IAVI-led emerging infectious disease candidate,2026-05-08,IAVI Pipeline,https://www.iavi.org/iavi-pipeline/,0
TB-7f2a96e4a6,ChAdOx1 85A / MVA85A,Tuberculosis,Phase 1,Viral vector,University of Oxford,Public TB clinical pipeline,2026-05-08,TB Vaccine Clinical Pipeline,https://newtbvaccines.org/tb-vaccine-pipeline/clinical-phase/,0
CIDRAP-a375cf6b76,S2-S-M-NP,Broadly protective coronavirus,Preclinical,Nanoparticle,Zhengzhou University; Henan Normal University; Chongqing Medical University,CIDRAP landscape candidate,2026-05-08,CIDRAP Coronavirus Vaccine Technology Landscape,https://cvr.cidrap.umn.edu/coronavirus-vaccine-technology-landscape,0
CIDRAP-f54150961e,mRBD-NP,Broadly protective coronavirus,Preclinical,Nanoparticle,Academic developers,CIDRAP landscape candidate,2026-05-08,CIDRAP Coronavirus Vaccine Technology Landscape,https://cvr.cidrap.umn.edu/coronavirus-vaccine-technology-landscape,0
CIDRAP-5daf6785f9,KP3-mRNA,COVID-19,Preclinical,mRNA/RNA,Academic developers,CIDRAP landscape candidate,2026-05-08,CIDRAP Coronavirus Vaccine Technology Landscape,https://cvr.cidrap.umn.edu/coronavirus-vaccine-technology-landscape,0
CIDRAP-c9c90c79b7,MV-014-212,COVID-19,Preclinical,Viral vector,University of Alabama at Birmingham; Meissa Vaccines,CIDRAP landscape candidate,2026-05-08,CIDRAP Coronavirus Vaccine Technology Landscape,https://cvr.cidrap.umn.edu/coronavirus-vaccine-technology-landscape,0
CIDRAP-9bca5edf39,S-RBD-NUS,COVID-19,Preclinical,Protein/subunit/VLP,National University of Singapore,CIDRAP landscape candidate,2026-05-08,CIDRAP Coronavirus Vaccine Technology Landscape,https://cvr.cidrap.umn.edu/coronavirus-vaccine-technology-landscape,0
CIDRAP-db0c85e842,XBB.1.5-LNP-mRNA-RBD,COVID-19,Preclinical,mRNA/RNA / nanoparticle,University of Toronto,CIDRAP landscape candidate,2026-05-08,CIDRAP Coronavirus Vaccine Technology Landscape,https://cvr.cidrap.umn.edu/coronavirus-vaccine-technology-landscape,0
IAVI-76b9f6cdc7,rVSVΔG-Env-HIV,HIV,Preclinical,Viral vector,IAVI / Government of Japan,IAVI-led HIV vaccine candidate,2026-05-08,IAVI Pipeline,https://www.iavi.org/iavi-pipeline/,0
TB-38244fb077,AEC/BC02,Tuberculosis,Preclinical,Protein/subunit/VLP,Public TB preclinical pipeline developers,Public TB preclinical pipeline,2026-05-08,TB Vaccine Preclinical Pipeline,https://newtbvaccines.org/tb-vaccine-pipeline/preclinical-stage/,0
TB-206ce3205f,CMV-TB,Tuberculosis,Preclinical,Viral vector,Public TB preclinical pipeline developers,Public TB preclinical pipeline,2026-05-08,TB Vaccine Preclinical Pipeline,https://newtbvaccines.org/tb-vaccine-pipeline/preclinical-stage/,0
IAVI-a5b7078467,mRNA-encoded TB antigens,Tuberculosis,Preclinical,mRNA/RNA,Moderna / NIAID / partners,IAVI TB vaccine candidate,2026-05-08,IAVI Pipeline,https://www.iavi.org/iavi-pipeline/,0
